index,eligible,ground_truth_eligible,witness_time_ms,generate_time_ms,verify_time_ms,verified,jurisdiction,jurisdiction_name,failed_flags
590,true,true,282,299,16,true,7,Gujarat,""
591,true,true,205,219,13,true,5,Chandigarh,""
592,true,true,224,241,17,true,2,Telangana,""
593,true,true,236,249,13,true,4,Rajasthan,""
594,true,true,246,262,16,true,4,Rajasthan,""
595,false,false,34,34,0,false,1,Karnataka,"mutation_complete;tax_paid;zoning_compliant;jurisdiction_mismatch"
596,true,true,211,225,13,true,0,Delhi,""
597,false,false,31,31,0,false,5,Chandigarh,"kyc_pass;registry_verified;mutation_complete;jurisdiction_mismatch"
598,false,false,31,31,0,false,5,Chandigarh,"zoning_compliant;jurisdiction_eligible;jurisdiction_mismatch"
599,false,false,31,32,0,false,3,Maharashtra,"kyc_pass;title_valid;jurisdiction_mismatch"
600,true,true,189,202,13,true,3,Maharashtra,""
601,true,true,208,222,14,true,3,Maharashtra,""
602,true,true,221,234,13,true,7,Gujarat,""
603,false,false,31,32,0,false,6,Uttar_Pradesh,"kyc_pass;mutation_complete;tax_paid;jurisdiction_eligible;jurisdiction_mismatch"
604,false,false,34,34,0,false,1,Karnataka,"zoning_compliant;jurisdiction_mismatch"
605,true,true,203,216,12,true,7,Gujarat,""
606,true,true,243,262,18,true,2,Telangana,""
607,false,false,31,31,0,false,4,Rajasthan,"encumbrance_free;jurisdiction_mismatch"
608,true,true,224,239,15,true,0,Delhi,""
609,false,false,29,30,0,false,0,Delhi,"kyc_pass;encumbrance_free;zoning_compliant;jurisdiction_eligible;jurisdiction_mismatch"
610,true,true,211,228,16,true,2,Telangana,""
611,true,true,210,224,14,true,5,Chandigarh,""
612,false,false,33,33,0,false,5,Chandigarh,"kyc_pass;title_valid;jurisdiction_mismatch"
613,true,true,211,227,15,true,1,Karnataka,""
614,true,true,209,222,13,true,7,Gujarat,""
615,false,false,32,33,0,false,5,Chandigarh,"registry_verified;encumbrance_free;zoning_compliant;jurisdiction_eligible;jurisdiction_mismatch"
616,false,false,43,44,0,false,4,Rajasthan,"kyc_pass;encumbrance_free;tax_paid;jurisdiction_mismatch"
617,false,false,33,33,0,false,5,Chandigarh,"kyc_pass;registry_verified;mutation_complete;tax_paid;jurisdiction_mismatch"
618,false,false,34,35,0,false,6,Uttar_Pradesh,"tax_paid;jurisdiction_mismatch"
619,true,true,215,231,15,true,6,Uttar_Pradesh,""
620,false,false,31,32,0,false,2,Telangana,"kyc_pass;jurisdiction_mismatch"
621,true,true,237,252,15,true,0,Delhi,""
622,true,true,228,241,13,true,2,Telangana,""
623,true,true,200,215,14,true,7,Gujarat,""
624,true,true,216,231,14,true,6,Uttar_Pradesh,""
625,true,true,192,205,12,true,5,Chandigarh,""
626,false,false,28,29,0,false,4,Rajasthan,"zoning_compliant;jurisdiction_mismatch"
627,true,true,222,237,14,true,1,Karnataka,""
628,false,false,31,31,0,false,1,Karnataka,"registry_verified;encumbrance_free;tax_paid;jurisdiction_eligible;jurisdiction_mismatch"
629,true,true,233,247,14,true,1,Karnataka,""
630,false,false,28,29,0,false,6,Uttar_Pradesh,"registry_verified;jurisdiction_eligible;jurisdiction_mismatch"
631,true,true,222,239,16,true,2,Telangana,""
632,true,true,236,249,13,true,5,Chandigarh,""
633,true,true,230,247,16,true,1,Karnataka,""
634,false,false,31,31,0,false,3,Maharashtra,"kyc_pass;title_valid;zoning_compliant;jurisdiction_eligible;jurisdiction_mismatch"
635,true,true,214,227,12,true,7,Gujarat,""
636,true,true,225,239,13,true,0,Delhi,""
637,true,true,230,243,12,true,7,Gujarat,""
638,true,true,227,242,14,true,6,Uttar_Pradesh,""
639,false,false,33,34,0,false,7,Gujarat,"zoning_compliant;jurisdiction_mismatch"
640,false,false,33,34,0,false,4,Rajasthan,"encumbrance_free;jurisdiction_eligible;jurisdiction_mismatch"
641,true,true,206,222,15,true,0,Delhi,""
642,false,false,29,29,0,false,3,Maharashtra,"jurisdiction_eligible;jurisdiction_mismatch"
643,false,false,36,37,0,false,6,Uttar_Pradesh,"kyc_pass;title_valid;registry_verified;mutation_complete;jurisdiction_mismatch"
644,true,true,242,257,14,true,4,Rajasthan,""
645,false,false,30,30,0,false,5,Chandigarh,"title_valid;registry_verified;jurisdiction_mismatch"
646,false,false,33,34,0,false,7,Gujarat,"registry_verified;mutation_complete;zoning_compliant;jurisdiction_eligible;jurisdiction_mismatch"
647,true,true,241,256,13,true,6,Uttar_Pradesh,""
648,false,false,32,33,0,false,6,Uttar_Pradesh,"kyc_pass;title_valid;jurisdiction_eligible;jurisdiction_mismatch"
649,false,false,35,35,0,false,0,Delhi,"kyc_pass;mutation_complete;jurisdiction_eligible;jurisdiction_mismatch"
650,true,true,226,240,13,true,5,Chandigarh,""
651,true,true,210,226,15,true,2,Telangana,""
652,false,false,31,31,0,false,7,Gujarat,"tax_paid;jurisdiction_eligible;jurisdiction_mismatch"
653,false,false,36,37,0,false,6,Uttar_Pradesh,"registry_verified;mutation_complete;encumbrance_free;tax_paid;jurisdiction_mismatch"
654,true,true,205,220,14,true,4,Rajasthan,""
655,false,false,27,28,0,false,3,Maharashtra,"mutation_complete;encumbrance_free;jurisdiction_mismatch"
